time	V(b1)	V(b2)	V(b3)	V(vb)
0.000000000000000e+000	2.088080e+000	2.049213e+000	2.087112e+000	2.000000e+000
3.347295999671399e-007	2.088077e+000	2.049210e+000	2.087111e+000	2.000000e+000
6.694591999342797e-007	2.088073e+000	2.049206e+000	2.087109e+000	2.000000e+000
1.004188799901419e-006	2.088067e+000	2.049203e+000	2.087107e+000	2.000000e+000
1.338918399868559e-006	2.088059e+000	2.049199e+000	2.087104e+000	2.000000e+000
1.673647999835699e-006	2.088050e+000	2.049195e+000	2.087101e+000	2.000000e+000
2.008377599802839e-006	2.088038e+000	2.049191e+000	2.087096e+000	2.000000e+000
2.343107199769978e-006	2.088025e+000	2.049187e+000	2.087091e+000	2.000000e+000
2.823107199769973e-006	2.088006e+000	2.049186e+000	2.087082e+000	2.000000e+000
3.091678628341400e-006	2.087994e+000	2.049188e+000	2.087076e+000	2.000000e+000
3.360250056912826e-006	2.087983e+000	2.049191e+000	2.087069e+000	2.000000e+000
3.628821485484252e-006	2.087974e+000	2.049195e+000	2.087061e+000	2.000000e+000
3.897392914055678e-006	2.087966e+000	2.049199e+000	2.087051e+000	2.000000e+000
4.165964342627104e-006	2.087958e+000	2.049204e+000	2.087040e+000	2.000000e+000
4.434535771198530e-006	2.087952e+000	2.049210e+000	2.087027e+000	2.000000e+000
4.703107199769956e-006	2.087947e+000	2.049217e+000	2.087014e+000	2.000000e+000
4.861678628341383e-006	2.087946e+000	2.049220e+000	2.087005e+000	2.000000e+000
5.020250056912810e-006	2.087946e+000	2.049223e+000	2.086995e+000	2.000000e+000
5.178821485484237e-006	2.087947e+000	2.049225e+000	2.086986e+000	2.000000e+000
5.337392914055664e-006	2.087948e+000	2.049226e+000	2.086976e+000	2.000000e+000
5.495964342627092e-006	2.087951e+000	2.049226e+000	2.086966e+000	2.000000e+000
5.654535771198518e-006	2.087956e+000	2.049226e+000	2.086955e+000	2.000000e+000
5.813107199769945e-006	2.087961e+000	2.049225e+000	2.086944e+000	2.000000e+000
5.823107199769945e-006	2.087961e+000	2.049224e+000	2.086943e+000	2.000000e+000
6.037392914055657e-006	2.087971e+000	2.049221e+000	2.086928e+000	2.000000e+000
6.251678628341369e-006	2.087983e+000	2.049213e+000	2.086914e+000	2.000000e+000
6.465964342627082e-006	2.087996e+000	2.049201e+000	2.086901e+000	2.000000e+000
6.680250056912794e-006	2.088011e+000	2.049185e+000	2.086889e+000	2.000000e+000
6.894535771198507e-006	2.088028e+000	2.049165e+000	2.086879e+000	2.000000e+000
7.108821485484219e-006	2.088046e+000	2.049140e+000	2.086869e+000	2.000000e+000
7.323107199769931e-006	2.088066e+000	2.049112e+000	2.086861e+000	2.000000e+000
7.503107199769929e-006	2.088084e+000	2.049083e+000	2.086857e+000	2.000000e+000
7.683107199769927e-006	2.088101e+000	2.049052e+000	2.086855e+000	2.000000e+000
7.863107199769926e-006	2.088116e+000	2.049017e+000	2.086857e+000	2.000000e+000
8.043107199769924e-006	2.088130e+000	2.048980e+000	2.086861e+000	2.000000e+000
8.223107199769922e-006	2.088142e+000	2.048939e+000	2.086869e+000	2.000000e+000
8.403107199769920e-006	2.088153e+000	2.048896e+000	2.086880e+000	2.000000e+000
8.583107199769919e-006	2.088163e+000	2.048850e+000	2.086893e+000	2.000000e+000
8.823107199769916e-006	2.088169e+000	2.048787e+000	2.086918e+000	2.000000e+000
8.997392914055630e-006	2.088169e+000	2.048738e+000	2.086941e+000	2.000000e+000
9.171678628341341e-006	2.088164e+000	2.048692e+000	2.086966e+000	2.000000e+000
9.345964342627055e-006	2.088153e+000	2.048648e+000	2.086995e+000	2.000000e+000
