time	V(b1)	V(b2)	V(b3)	V(vb)
0.000000000000000e+000	3.112298e+000	2.087482e+000	2.057650e+000	1.000000e+000
4.018724571099963e-007	3.112295e+000	2.087482e+000	2.057649e+000	1.000000e+000
8.037449142199927e-007	3.112293e+000	2.087482e+000	2.057645e+000	1.000000e+000
1.205617371329989e-006	3.112292e+000	2.087482e+000	2.057640e+000	1.000000e+000
1.607489828439985e-006	3.112292e+000	2.087482e+000	2.057632e+000	1.000000e+000
2.009362285549982e-006	3.112292e+000	2.087482e+000	2.057622e+000	1.000000e+000
2.411234742659978e-006	3.112294e+000	2.087482e+000	2.057610e+000	1.000000e+000
2.813107199769974e-006	3.112296e+000	2.087481e+000	2.057595e+000	1.000000e+000
2.823107199769973e-006	3.112296e+000	2.087481e+000	2.057595e+000	1.000000e+000
3.250250056912827e-006	3.112303e+000	2.087481e+000	2.057578e+000	1.000000e+000
3.677392914055680e-006	3.112315e+000	2.087480e+000	2.057559e+000	1.000000e+000
4.104535771198533e-006	3.112334e+000	2.087479e+000	2.057538e+000	1.000000e+000
4.531678628341387e-006	3.112359e+000	2.087479e+000	2.057515e+000	1.000000e+000
4.958821485484240e-006	3.112390e+000	2.087478e+000	2.057490e+000	1.000000e+000
5.385964342627093e-006	3.112428e+000	2.087477e+000	2.057463e+000	1.000000e+000
5.813107199769945e-006	3.112472e+000	2.087476e+000	2.057434e+000	1.000000e+000
5.823107199769945e-006	3.112473e+000	2.087476e+000	2.057434e+000	1.000000e+000
6.250250056912799e-006	3.112525e+000	2.087475e+000	2.057403e+000	1.000000e+000
6.677392914055652e-006	3.112587e+000	2.087473e+000	2.057371e+000	1.000000e+000
7.104535771198505e-006	3.112659e+000	2.087472e+000	2.057338e+000	1.000000e+000
7.531678628341358e-006	3.112740e+000	2.087470e+000	2.057303e+000	1.000000e+000
7.958821485484211e-006	3.112832e+000	2.087468e+000	2.057267e+000	1.000000e+000
8.385964342627064e-006	3.112932e+000	2.087465e+000	2.057230e+000	1.000000e+000
8.813107199769916e-006	3.113043e+000	2.087463e+000	2.057191e+000	1.000000e+000
8.823107199769916e-006	3.113045e+000	2.087463e+000	2.057190e+000	1.000000e+000
9.250250056912769e-006	3.113168e+000	2.087460e+000	2.057150e+000	1.000000e+000
9.677392914055623e-006	3.113301e+000	2.087457e+000	2.057109e+000	1.000000e+000
1.010453577119848e-005	3.113445e+000	2.087453e+000	2.057068e+000	1.000000e+000
1.053167862834133e-005	3.113600e+000	2.087449e+000	2.057026e+000	1.000000e+000
1.095882148548418e-005	3.113766e+000	2.087445e+000	2.056984e+000	1.000000e+000
1.138596434262704e-005	3.113944e+000	2.087441e+000	2.056941e+000	1.000000e+000
1.181310719976989e-005	3.114132e+000	2.087436e+000	2.056897e+000	1.000000e+000
1.182310719976989e-005	3.114137e+000	2.087436e+000	2.056896e+000	1.000000e+000
1.225025005691274e-005	3.114338e+000	2.087430e+000	2.056852e+000	1.000000e+000
1.267739291405559e-005	3.114548e+000	2.087424e+000	2.056809e+000	1.000000e+000
1.310453577119845e-005	3.114769e+000	2.087418e+000	2.056766e+000	1.000000e+000
1.353167862834130e-005	3.115000e+000	2.087411e+000	2.056723e+000	1.000000e+000
1.395882148548415e-005	3.115240e+000	2.087404e+000	2.056682e+000	1.000000e+000
1.438596434262701e-005	3.115491e+000	2.087396e+000	2.056640e+000	1.000000e+000
1.481310719976986e-005	3.115751e+000	2.087387e+000	2.056599e+000	1.000000e+000
1.482310719976986e-005	3.115757e+000	2.087387e+000	2.056598e+000	1.000000e+000
1.525025005691277e-005	3.116028e+000	2.087378e+000	2.056559e+000	1.000000e+000
1.567739291405569e-005	3.116304e+000	2.087368e+000	2.056521e+000	1.000000e+000
1.610453577119860e-005	3.116585e+000	2.087358e+000	2.056486e+000	1.000000e+000
1.653167862834152e-005	3.116873e+000	2.087347e+000	2.056452e+000	1.000000e+000
1.695882148548443e-005	3.117166e+000	2.087336e+000	2.056420e+000	1.000000e+000
1.738596434262735e-005	3.117465e+000	2.087323e+000	2.056391e+000	1.000000e+000
1.781310719977026e-005	3.117770e+000	2.087311e+000	2.056363e+000	1.000000e+000
1.782310719977027e-005	3.117777e+000	2.087310e+000	2.056363e+000	1.000000e+000
1.825025005691319e-005	3.118086e+000	2.087297e+000	2.056338e+000	1.000000e+000
1.867739291405612e-005	3.118392e+000	2.087283e+000	2.056318e+000	1.000000e+000
1.910453577119904e-005	3.118696e+000	2.087268e+000	2.056301e+000	1.000000e+000
1.953167862834197e-005	3.118999e+000	2.087252e+000	2.056288e+000	1.000000e+000
1.995882148548489e-005	3.119299e+000	2.087236e+000	2.056279e+000	1.000000e+000
2.038596434262782e-005	3.119597e+000	2.087220e+000	2.056274e+000	1.000000e+000
2.081310719977074e-005	3.119893e+000	2.087202e+000	2.056273e+000	1.000000e+000
2.082310719977075e-005	3.119900e+000	2.087202e+000	2.056273e+000	1.000000e+000
2.125025005691367e-005	3.120190e+000	2.087184e+000	2.056276e+000	1.000000e+000
2.167739291405660e-005	3.120466e+000	2.087165e+000	2.056286e+000	1.000000e+000
2.210453577119952e-005	3.120728e+000	2.087146e+000	2.056301e+000	1.000000e+000
2.253167862834245e-005	3.120977e+000	2.087126e+000	2.056322e+000	1.000000e+000
2.295882148548537e-005	3.121213e+000	2.087106e+000	2.056349e+000	1.000000e+000
2.338596434262830e-005	3.121435e+000	2.087085e+000	2.056382e+000	1.000000e+000
2.381310719977122e-005	3.121644e+000	2.087064e+000	2.056421e+000	1.000000e+000
2.382310719977123e-005	3.121648e+000	2.087063e+000	2.056422e+000	1.000000e+000
2.425025005691415e-005	3.121836e+000	2.087041e+000	2.056467e+000	1.000000e+000
2.467739291405708e-005	3.121997e+000	2.087019e+000	2.056520e+000	1.000000e+000
2.510453577120000e-005	3.122129e+000	2.086997e+000	2.056580e+000	1.000000e+000
2.553167862834293e-005	3.122234e+000	2.086974e+000	2.056648e+000	1.000000e+000
2.595882148548585e-005	3.122310e+000	2.086951e+000	2.056723e+000	1.000000e+000
2.638596434262878e-005	3.122359e+000	2.086928e+000	2.056805e+000	1.000000e+000
2.681310719977170e-005	3.122379e+000	2.086905e+000	2.056895e+000	1.000000e+000
2.682310719977170e-005	3.122379e+000	2.086904e+000	2.056897e+000	1.000000e+000
2.725025005691463e-005	3.122363e+000	2.086881e+000	2.056996e+000	1.000000e+000
2.767739291405756e-005	3.122303e+000	2.086858e+000	2.057102e+000	1.000000e+000
2.810453577120048e-005	3.122199e+000	2.086835e+000	2.057217e+000	1.000000e+000
2.853167862834341e-005	3.122051e+000	2.086812e+000	2.057340e+000	1.000000e+000
2.895882148548633e-005	3.121860e+000	2.086790e+000	2.057471e+000	1.000000e+000
2.938596434262926e-005	3.121624e+000	2.086768e+000	2.057610e+000	1.000000e+000
2.981310719977218e-005	3.121345e+000	2.086746e+000	2.057757e+000	1.000000e+000
2.982310719977218e-005	3.121337e+000	2.086746e+000	2.057761e+000	1.000000e+000
3.025025005691511e-005	3.121004e+000	2.086724e+000	2.057917e+000	1.000000e+000
3.067739291405803e-005	3.120612e+000	2.086704e+000	2.058081e+000	1.000000e+000
3.110453577120096e-005	3.120161e+000	2.086685e+000	2.058252e+000	1.000000e+000
3.153167862834388e-005	3.119652e+000	2.086667e+000	2.058431e+000	1.000000e+000
3.195882148548681e-005	3.119084e+000	2.086649e+000	2.058617e+000	1.000000e+000
3.238596434262973e-005	3.118457e+000	2.086633e+000	2.058810e+000	1.000000e+000
3.281310719977266e-005	3.117772e+000	2.086618e+000	2.059012e+000	1.000000e+000
3.282310719977266e-005	3.117755e+000	2.086618e+000	2.059016e+000	1.000000e+000
3.325025005691559e-005	3.117001e+000	2.086604e+000	2.059225e+000	1.000000e+000
