time	V(b1)	V(b2)	V(b3)	V(vb)
0.000000000000000e+000	2.089625e+000	1.993588e+000	2.087239e+000	4.000000e+000
2.818724571099974e-007	2.089623e+000	1.993586e+000	2.087238e+000	4.000000e+000
5.637449142199949e-007	2.089619e+000	1.993583e+000	2.087236e+000	4.000000e+000
8.456173713299923e-007	2.089615e+000	1.993579e+000	2.087234e+000	4.000000e+000
1.127489828439990e-006	2.089608e+000	1.993575e+000	2.087231e+000	4.000000e+000
1.409362285549987e-006	2.089601e+000	1.993571e+000	2.087227e+000	4.000000e+000
1.691234742659985e-006	2.089592e+000	1.993565e+000	2.087223e+000	4.000000e+000
1.973107199769982e-006	2.089581e+000	1.993560e+000	2.087218e+000	4.000000e+000
2.823107199769973e-006	2.089548e+000	1.993552e+000	2.087200e+000	4.000000e+000
3.083107199769971e-006	2.089537e+000	1.993552e+000	2.087193e+000	4.000000e+000
3.343107199769969e-006	2.089527e+000	1.993553e+000	2.087184e+000	4.000000e+000
3.603107199769966e-006	2.089519e+000	1.993554e+000	2.087175e+000	4.000000e+000
3.863107199769964e-006	2.089511e+000	1.993555e+000	2.087164e+000	4.000000e+000
4.123107199769961e-006	2.089505e+000	1.993557e+000	2.087152e+000	4.000000e+000
4.383107199769959e-006	2.089500e+000	1.993559e+000	2.087139e+000	4.000000e+000
4.643107199769956e-006	2.089497e+000	1.993562e+000	2.087124e+000	4.000000e+000
4.810250056912812e-006	2.089496e+000	1.993563e+000	2.087114e+000	4.000000e+000
4.977392914055667e-006	2.089497e+000	1.993563e+000	2.087103e+000	4.000000e+000
5.144535771198523e-006	2.089499e+000	1.993562e+000	2.087093e+000	4.000000e+000
5.311678628341378e-006	2.089503e+000	1.993560e+000	2.087082e+000	4.000000e+000
5.478821485484234e-006	2.089507e+000	1.993556e+000	2.087071e+000	4.000000e+000
5.645964342627090e-006	2.089513e+000	1.993552e+000	2.087060e+000	4.000000e+000
5.813107199769945e-006	2.089520e+000	1.993546e+000	2.087049e+000	4.000000e+000
5.823107199769945e-006	2.089520e+000	1.993545e+000	2.087049e+000	4.000000e+000
6.017392914055657e-006	2.089531e+000	1.993536e+000	2.087036e+000	4.000000e+000
6.211678628341370e-006	2.089542e+000	1.993524e+000	2.087026e+000	4.000000e+000
6.405964342627083e-006	2.089554e+000	1.993508e+000	2.087017e+000	4.000000e+000
6.600250056912795e-006	2.089566e+000	1.993489e+000	2.087011e+000	4.000000e+000
6.794535771198507e-006	2.089579e+000	1.993468e+000	2.087006e+000	4.000000e+000
6.988821485484220e-006	2.089592e+000	1.993443e+000	2.087004e+000	4.000000e+000
7.183107199769932e-006	2.089607e+000	1.993415e+000	2.087003e+000	4.000000e+000
7.348821485484216e-006	2.089618e+000	1.993387e+000	2.087007e+000	4.000000e+000
7.514535771198501e-006	2.089627e+000	1.993359e+000	2.087013e+000	4.000000e+000
7.680250056912784e-006	2.089633e+000	1.993329e+000	2.087022e+000	4.000000e+000
7.845964342627069e-006	2.089637e+000	1.993299e+000	2.087035e+000	4.000000e+000
8.011678628341352e-006	2.089638e+000	1.993268e+000	2.087051e+000	4.000000e+000
8.177392914055638e-006	2.089636e+000	1.993235e+000	2.087070e+000	4.000000e+000
8.343107199769921e-006	2.089632e+000	1.993201e+000	2.087092e+000	4.000000e+000
8.410250056912777e-006	2.089629e+000	1.993189e+000	2.087102e+000	4.000000e+000
8.477392914055635e-006	2.089625e+000	1.993176e+000	2.087113e+000	4.000000e+000
8.544535771198491e-006	2.089620e+000	1.993164e+000	2.087124e+000	4.000000e+000
8.611678628341347e-006	2.089614e+000	1.993152e+000	2.087135e+000	4.000000e+000
8.678821485484204e-006	2.089607e+000	1.993140e+000	2.087148e+000	4.000000e+000
8.745964342627060e-006	2.089599e+000	1.993129e+000	2.087160e+000	4.000000e+000
8.813107199769916e-006	2.089591e+000	1.993118e+000	2.087173e+000	4.000000e+000
8.823107199769916e-006	2.089590e+000	1.993116e+000	2.087175e+000	4.000000e+000
8.970250056912772e-006	2.089568e+000	1.993093e+000	2.087207e+000	4.000000e+000
9.117392914055629e-006	2.089540e+000	1.993075e+000	2.087239e+000	4.000000e+000
9.264535771198484e-006	2.089508e+000	1.993063e+000	2.087271e+000	4.000000e+000
9.411678628341339e-006	2.089470e+000	1.993056e+000	2.087304e+000	4.000000e+000
9.558821485484196e-006	2.089428e+000	1.993054e+000	2.087338e+000	4.000000e+000
9.705964342627051e-006	2.089380e+000	1.993057e+000	2.087372e+000	4.000000e+000
9.853107199769907e-006	2.089327e+000	1.993066e+000	2.087407e+000	4.000000e+000
9.985964342627049e-006	2.089273e+000	1.993081e+000	2.087437e+000	4.000000e+000
1.011882148548419e-005	2.089217e+000	1.993105e+000	2.087463e+000	4.000000e+000
1.025167862834133e-005	2.089158e+000	1.993136e+000	2.087486e+000	4.000000e+000
1.038453577119847e-005	2.089096e+000	1.993176e+000	2.087505e+000	4.000000e+000
1.051739291405562e-005	2.089032e+000	1.993223e+000	2.087520e+000	4.000000e+000
1.065025005691276e-005	2.088965e+000	1.993278e+000	2.087532e+000	4.000000e+000
1.078310719976990e-005	2.088896e+000	1.993342e+000	2.087539e+000	4.000000e+000
1.090453577119847e-005	2.088831e+000	1.993409e+000	2.087541e+000	4.000000e+000
1.102596434262704e-005	2.088768e+000	1.993482e+000	2.087534e+000	4.000000e+000
1.114739291405561e-005	2.088708e+000	1.993562e+000	2.087521e+000	4.000000e+000
1.126882148548418e-005	2.088651e+000	1.993649e+000	2.087500e+000	4.000000e+000
1.139025005691275e-005	2.088596e+000	1.993743e+000	2.087471e+000	4.000000e+000
1.151167862834132e-005	2.088543e+000	1.993843e+000	2.087435e+000	4.000000e+000
1.163310719976989e-005	2.088493e+000	1.993950e+000	2.087392e+000	4.000000e+000
1.165882148548417e-005	2.088484e+000	1.993974e+000	2.087382e+000	4.000000e+000
1.168453577119846e-005	2.088475e+000	1.993997e+000	2.087371e+000	4.000000e+000
1.171025005691275e-005	2.088466e+000	1.994020e+000	2.087359e+000	4.000000e+000
1.173596434262703e-005	2.088457e+000	1.994044e+000	2.087347e+000	4.000000e+000
1.176167862834132e-005	2.088449e+000	1.994068e+000	2.087335e+000	4.000000e+000
1.178739291405560e-005	2.088441e+000	1.994092e+000	2.087322e+000	4.000000e+000
1.181310719976989e-005	2.088434e+000	1.994117e+000	2.087309e+000	4.000000e+000
1.182310719976989e-005	2.088431e+000	1.994126e+000	2.087304e+000	4.000000e+000
1.194310719976989e-005	2.088398e+000	1.994245e+000	2.087236e+000	4.000000e+000
1.206310719976989e-005	2.088377e+000	1.994364e+000	2.087159e+000	4.000000e+000
1.218310719976988e-005	2.088367e+000	1.994481e+000	2.087071e+000	4.000000e+000
1.230310719976988e-005	2.088369e+000	1.994598e+000	2.086974e+000	4.000000e+000
1.242310719976988e-005	2.088382e+000	1.994714e+000	2.086867e+000	4.000000e+000
1.254310719976988e-005	2.088407e+000	1.994830e+000	2.086751e+000	4.000000e+000
1.266310719976988e-005	2.088443e+000	1.994945e+000	2.086625e+000	4.000000e+000
1.277453577119845e-005	2.088492e+000	1.995047e+000	2.086498e+000	4.000000e+000
1.288596434262702e-005	2.088556e+000	1.995138e+000	2.086365e+000	4.000000e+000
1.299739291405559e-005	2.088637e+000	1.995217e+000	2.086228e+000	4.000000e+000
1.310882148548416e-005	2.088733e+000	1.995286e+000	2.086085e+000	4.000000e+000
1.322025005691273e-005	2.088844e+000	1.995343e+000	2.085937e+000	4.000000e+000
1.333167862834130e-005	2.088972e+000	1.995389e+000	2.085784e+000	4.000000e+000
1.344310719976987e-005	2.089115e+000	1.995423e+000	2.085626e+000	4.000000e+000
1.354739291405559e-005	2.089266e+000	1.995440e+000	2.085474e+000	4.000000e+000
1.365167862834130e-005	2.089432e+000	1.995435e+000	2.085327e+000	4.000000e+000
1.375596434262701e-005	2.089612e+000	1.995410e+000	2.085182e+000	4.000000e+000
1.386025005691273e-005	2.089806e+000	1.995364e+000	2.085041e+000	4.000000e+000
1.396453577119844e-005	2.090015e+000	1.995298e+000	2.084903e+000	4.000000e+000
1.406882148548415e-005	2.090239e+000	1.995211e+000	2.084768e+000	4.000000e+000
1.417310719976987e-005	2.090477e+000	1.995103e+000	2.084636e+000	4.000000e+000
1.426453577119844e-005	2.090697e+000	1.994986e+000	2.084529e+000	4.000000e+000
1.435596434262701e-005	2.090923e+000	1.994847e+000	2.084432e+000	4.000000e+000
1.444739291405558e-005	2.091156e+000	1.994686e+000	2.084347e+000	4.000000e+000
1.453882148548415e-005	2.091395e+000	1.994503e+000	2.084274e+000	4.000000e+000
1.463025005691272e-005	2.091640e+000	1.994298e+000	2.084212e+000	4.000000e+000
1.472167862834129e-005	2.091892e+000	1.994072e+000	2.084162e+000	4.000000e+000
1.481310719976986e-005	2.092150e+000	1.993823e+000	2.084123e+000	4.000000e+000
1.482310719976986e-005	2.092178e+000	1.993794e+000	2.084120e+000	4.000000e+000
1.491739291405558e-005	2.092448e+000	1.993508e+000	2.084099e+000	4.000000e+000
1.501167862834130e-005	2.092714e+000	1.993199e+000	2.084101e+000	4.000000e+000
1.510596434262702e-005	2.092974e+000	1.992865e+000	2.084126e+000	4.000000e+000
1.520025005691273e-005	2.093229e+000	1.992508e+000	2.084175e+000	4.000000e+000
1.529453577119845e-005	2.093480e+000	1.992127e+000	2.084246e+000	4.000000e+000
1.538882148548417e-005	2.093725e+000	1.991723e+000	2.084341e+000	4.000000e+000
1.548310719976989e-005	2.093965e+000	1.991294e+000	2.084458e+000	4.000000e+000
1.558596434262705e-005	2.094215e+000	1.990797e+000	2.084620e+000	4.000000e+000
1.568882148548421e-005	2.094437e+000	1.990285e+000	2.084820e+000	4.000000e+000
1.579167862834137e-005	2.094629e+000	1.989756e+000	2.085058e+000	4.000000e+000
1.589453577119853e-005	2.094792e+000	1.989212e+000	2.085334e+000	4.000000e+000
1.599739291405569e-005	2.094927e+000	1.988652e+000	2.085649e+000	4.000000e+000
1.610025005691285e-005	2.095032e+000	1.988076e+000	2.086002e+000	4.000000e+000
1.620310719977001e-005	2.095109e+000	1.987484e+000	2.086394e+000	4.000000e+000
1.628310719977002e-005	2.095135e+000	1.987021e+000	2.086729e+000	4.000000e+000
1.636310719977003e-005	2.095130e+000	1.986564e+000	2.087088e+000	4.000000e+000
1.644310719977005e-005	2.095091e+000	1.986115e+000	2.087472e+000	4.000000e+000
1.652310719977006e-005	2.095020e+000	1.985672e+000	2.087879e+000	4.000000e+000
1.660310719977007e-005	2.094915e+000	1.985236e+000	2.088311e+000	4.000000e+000
1.668310719977008e-005	2.094778e+000	1.984806e+000	2.088766e+000	4.000000e+000
1.676310719977010e-005	2.094609e+000	1.984384e+000	2.089246e+000	4.000000e+000
1.686310719977011e-005	2.094342e+000	1.983870e+000	2.089882e+000	4.000000e+000
1.696310719977013e-005	2.094004e+000	1.983406e+000	2.090544e+000	4.000000e+000
1.706310719977014e-005	2.093595e+000	1.982992e+000	2.091229e+000	4.000000e+000
1.716310719977016e-005	2.093115e+000	1.982628e+000	2.091939e+000	4.000000e+000
1.726310719977018e-005	2.092563e+000	1.982313e+000	2.092674e+000	4.000000e+000
1.736310719977019e-005	2.091941e+000	1.982049e+000	2.093433e+000	4.000000e+000
1.746310719977021e-005	2.091248e+000	1.981833e+000	2.094217e+000	4.000000e+000
1.751310719977022e-005	2.090870e+000	1.981760e+000	2.094610e+000	4.000000e+000
1.756310719977022e-005	2.090472e+000	1.981709e+000	2.095003e+000	4.000000e+000
1.761310719977023e-005	2.090055e+000	1.981681e+000	2.095397e+000	4.000000e+000
1.766310719977024e-005	2.089618e+000	1.981674e+000	2.095790e+000	4.000000e+000
1.771310719977025e-005	2.089162e+000	1.981690e+000	2.096183e+000	4.000000e+000
1.776310719977026e-005	2.088686e+000	1.981728e+000	2.096576e+000	4.000000e+000
1.781310719977026e-005	2.088191e+000	1.981788e+000	2.096969e+000	4.000000e+000
1.782310719977027e-005	2.088090e+000	1.981804e+000	2.097047e+000	4.000000e+000
1.791310719977028e-005	2.087137e+000	1.981979e+000	2.097758e+000	4.000000e+000
1.800310719977029e-005	2.086130e+000	1.982255e+000	2.098438e+000	4.000000e+000
1.809310719977031e-005	2.085067e+000	1.982632e+000	2.099088e+000	4.000000e+000
1.818310719977032e-005	2.083950e+000	1.983109e+000	2.099708e+000	4.000000e+000
1.827310719977034e-005	2.082778e+000	1.983688e+000	2.100299e+000	4.000000e+000
1.836310719977035e-005	2.081550e+000	1.984368e+000	2.100859e+000	4.000000e+000
1.845310719977037e-005	2.080268e+000	1.985149e+000	2.101389e+000	4.000000e+000
1.854025005691324e-005	2.078978e+000	1.986022e+000	2.101854e+000	4.000000e+000
1.862739291405611e-005	2.077668e+000	1.987012e+000	2.102245e+000	4.000000e+000
1.871453577119898e-005	2.076339e+000	1.988117e+000	2.102563e+000	4.000000e+000
1.880167862834185e-005	2.074989e+000	1.989338e+000	2.102808e+000	4.000000e+000
1.888882148548472e-005	2.073621e+000	1.990675e+000	2.102979e+000	4.000000e+000
1.897596434262759e-005	2.072232e+000	1.992128e+000	2.103077e+000	4.000000e+000
1.906310719977046e-005	2.070824e+000	1.993697e+000	2.103101e+000	4.000000e+000
1.914453577119905e-005	2.069508e+000	1.995279e+000	2.103033e+000	4.000000e+000
1.922596434262763e-005	2.068225e+000	1.996956e+000	2.102860e+000	4.000000e+000
1.930739291405622e-005	2.066976e+000	1.998728e+000	2.102582e+000	4.000000e+000
1.938882148548480e-005	2.065760e+000	2.000596e+000	2.102199e+000	4.000000e+000
1.947025005691339e-005	2.064577e+000	2.002559e+000	2.101712e+000	4.000000e+000
1.955167862834197e-005	2.063428e+000	2.004617e+000	2.101120e+000	4.000000e+000
1.963310719977056e-005	2.062311e+000	2.006770e+000	2.100423e+000	4.000000e+000
1.973167862834200e-005	2.061026e+000	2.009513e+000	2.099413e+000	4.000000e+000
1.983025005691344e-005	2.059903e+000	2.012327e+000	2.098203e+000	4.000000e+000
1.992882148548489e-005	2.058942e+000	2.015212e+000	2.096791e+000	4.000000e+000
2.002739291405633e-005	2.058142e+000	2.018168e+000	2.095178e+000	4.000000e+000
2.012596434262778e-005	2.057505e+000	2.021195e+000	2.093364e+000	4.000000e+000
2.022453577119922e-005	2.057030e+000	2.024293e+000	2.091350e+000	4.000000e+000
2.032310719977067e-005	2.056716e+000	2.027462e+000	2.089134e+000	4.000000e+000
2.035310719977067e-005	2.056681e+000	2.028416e+000	2.088415e+000	4.000000e+000
2.037310719977067e-005	2.056670e+000	2.029052e+000	2.087924e+000	4.000000e+000
2.039310719977068e-005	2.056668e+000	2.029687e+000	2.087425e+000	4.000000e+000
