time	V(b1)	V(b2)	V(b3)	V(vb)
0.000000000000000e+000	1.973572e+000	2.087243e+000	2.090136e+000	5.000000e+000
2.761581713957118e-007	1.973569e+000	2.087241e+000	2.090134e+000	5.000000e+000
5.523163427914236e-007	1.973566e+000	2.087239e+000	2.090131e+000	5.000000e+000
8.284745141871355e-007	1.973563e+000	2.087237e+000	2.090126e+000	5.000000e+000
1.104632685582847e-006	1.973559e+000	2.087234e+000	2.090120e+000	5.000000e+000
1.380790856978559e-006	1.973554e+000	2.087231e+000	2.090113e+000	5.000000e+000
1.656949028374271e-006	1.973549e+000	2.087227e+000	2.090104e+000	5.000000e+000
1.933107199769982e-006	1.973544e+000	2.087222e+000	2.090093e+000	5.000000e+000
2.058821485484267e-006	1.973542e+000	2.087220e+000	2.090089e+000	5.000000e+000
2.184535771198551e-006	1.973540e+000	2.087217e+000	2.090084e+000	5.000000e+000
2.310250056912835e-006	1.973539e+000	2.087215e+000	2.090079e+000	5.000000e+000
2.435964342627120e-006	1.973537e+000	2.087212e+000	2.090074e+000	5.000000e+000
2.561678628341405e-006	1.973537e+000	2.087210e+000	2.090069e+000	5.000000e+000
2.687392914055689e-006	1.973536e+000	2.087207e+000	2.090064e+000	5.000000e+000
2.813107199769974e-006	1.973535e+000	2.087204e+000	2.090059e+000	5.000000e+000
2.823107199769973e-006	1.973535e+000	2.087204e+000	2.090058e+000	5.000000e+000
3.077392914055686e-006	1.973536e+000	2.087197e+000	2.090047e+000	5.000000e+000
3.331678628341397e-006	1.973537e+000	2.087189e+000	2.090037e+000	5.000000e+000
3.585964342627109e-006	1.973538e+000	2.087179e+000	2.090028e+000	5.000000e+000
3.840250056912822e-006	1.973540e+000	2.087169e+000	2.090021e+000	5.000000e+000
4.094535771198533e-006	1.973542e+000	2.087157e+000	2.090015e+000	5.000000e+000
4.348821485484246e-006	1.973545e+000	2.087143e+000	2.090010e+000	5.000000e+000
4.603107199769957e-006	1.973548e+000	2.087129e+000	2.090006e+000	5.000000e+000
4.775964342627098e-006	1.973549e+000	2.087118e+000	2.090005e+000	5.000000e+000
4.948821485484239e-006	1.973550e+000	2.087107e+000	2.090006e+000	5.000000e+000
5.121678628341380e-006	1.973549e+000	2.087095e+000	2.090008e+000	5.000000e+000
5.294535771198522e-006	1.973547e+000	2.087084e+000	2.090012e+000	5.000000e+000
5.467392914055664e-006	1.973543e+000	2.087073e+000	2.090017e+000	5.000000e+000
5.640250056912804e-006	1.973539e+000	2.087061e+000	2.090023e+000	5.000000e+000
5.813107199769945e-006	1.973533e+000	2.087049e+000	2.090031e+000	5.000000e+000
5.823107199769945e-006	1.973532e+000	2.087049e+000	2.090031e+000	5.000000e+000
6.011678628341372e-006	1.973523e+000	2.087036e+000	2.090042e+000	5.000000e+000
6.200250056912799e-006	1.973511e+000	2.087025e+000	2.090054e+000	5.000000e+000
6.388821485484226e-006	1.973495e+000	2.087017e+000	2.090066e+000	5.000000e+000
6.577392914055653e-006	1.973477e+000	2.087010e+000	2.090078e+000	5.000000e+000
6.765964342627079e-006	1.973456e+000	2.087005e+000	2.090092e+000	5.000000e+000
6.954535771198506e-006	1.973431e+000	2.087003e+000	2.090105e+000	5.000000e+000
7.143107199769932e-006	1.973403e+000	2.087003e+000	2.090120e+000	5.000000e+000
7.305964342627074e-006	1.973376e+000	2.087006e+000	2.090132e+000	5.000000e+000
7.468821485484215e-006	1.973348e+000	2.087012e+000	2.090141e+000	5.000000e+000
7.631678628341356e-006	1.973318e+000	2.087022e+000	2.090148e+000	5.000000e+000
7.794535771198498e-006	1.973288e+000	2.087035e+000	2.090152e+000	5.000000e+000
7.957392914055640e-006	1.973256e+000	2.087051e+000	2.090154e+000	5.000000e+000
8.120250056912781e-006	1.973223e+000	2.087070e+000	2.090153e+000	5.000000e+000
8.283107199769922e-006	1.973189e+000	2.087093e+000	2.090149e+000	5.000000e+000
8.358821485484206e-006	1.973174e+000	2.087105e+000	2.090146e+000	5.000000e+000
8.434535771198492e-006	1.973159e+000	2.087117e+000	2.090141e+000	5.000000e+000
8.510250056912776e-006	1.973145e+000	2.087131e+000	2.090135e+000	5.000000e+000
8.585964342627062e-006	1.973131e+000	2.087145e+000	2.090128e+000	5.000000e+000
8.661678628341346e-006	1.973118e+000	2.087159e+000	2.090120e+000	5.000000e+000
8.737392914055632e-006	1.973105e+000	2.087175e+000	2.090111e+000	5.000000e+000
8.813107199769916e-006	1.973093e+000	2.087191e+000	2.090100e+000	5.000000e+000
8.823107199769916e-006	1.973091e+000	2.087193e+000	2.090099e+000	5.000000e+000
8.965964342627058e-006	1.973069e+000	2.087226e+000	2.090075e+000	5.000000e+000
9.108821485484199e-006	1.973052e+000	2.087259e+000	2.090046e+000	5.000000e+000
9.251678628341341e-006	1.973041e+000	2.087293e+000	2.090012e+000	5.000000e+000
9.394535771198483e-006	1.973035e+000	2.087327e+000	2.089973e+000	5.000000e+000
9.537392914055625e-006	1.973035e+000	2.087362e+000	2.089928e+000	5.000000e+000
9.680250056912767e-006	1.973040e+000	2.087397e+000	2.089879e+000	5.000000e+000
9.823107199769907e-006	1.973050e+000	2.087432e+000	2.089824e+000	5.000000e+000
9.953107199769906e-006	1.973067e+000	2.087463e+000	2.089769e+000	5.000000e+000
1.008310719976990e-005	1.973092e+000	2.087490e+000	2.089711e+000	5.000000e+000
1.021310719976990e-005	1.973125e+000	2.087514e+000	2.089650e+000	5.000000e+000
1.034310719976990e-005	1.973166e+000	2.087533e+000	2.089587e+000	5.000000e+000
1.047310719976990e-005	1.973216e+000	2.087548e+000	2.089521e+000	5.000000e+000
1.060310719976990e-005	1.973273e+000	2.087559e+000	2.089452e+000	5.000000e+000
1.073310719976990e-005	1.973338e+000	2.087566e+000	2.089381e+000	5.000000e+000
1.085310719976990e-005	1.973408e+000	2.087567e+000	2.089314e+000	5.000000e+000
1.097310719976990e-005	1.973484e+000	2.087559e+000	2.089250e+000	5.000000e+000
1.109310719976990e-005	1.973567e+000	2.087544e+000	2.089188e+000	5.000000e+000
