time	V(b1)	V(b2)	V(b3)	V(vb)
0.000000000000000e+000	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
1.999999964903340e-013	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
2.342285673182513e-010	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
4.682571346400122e-010	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
7.022857019617731e-010	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
9.363142692835340e-010	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
1.170342836605295e-009	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
1.404371403927056e-009	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
1.638399971248816e-009	3.899887e+000	2.089924e+000	1.946801e+000	7.500000e-001
4.032767999424953e-007	3.899887e+000	2.089924e+000	1.946800e+000	7.500000e-001
8.049151999137419e-007	3.899887e+000	2.089924e+000	1.946798e+000	7.500000e-001
1.206553599884988e-006	3.899887e+000	2.089924e+000	1.946794e+000	7.500000e-001
1.608191999856235e-006	3.899887e+000	2.089924e+000	1.946788e+000	7.500000e-001
2.009830399827481e-006	3.899888e+000	2.089924e+000	1.946781e+000	7.500000e-001
2.411468799798728e-006	3.899888e+000	2.089923e+000	1.946773e+000	7.500000e-001
2.813107199769974e-006	3.899889e+000	2.089923e+000	1.946763e+000	7.500000e-001
2.823107199769973e-006	3.899889e+000	2.089923e+000	1.946763e+000	7.500000e-001
3.250250056912827e-006	3.899891e+000	2.089923e+000	1.946751e+000	7.500000e-001
3.677392914055680e-006	3.899894e+000	2.089923e+000	1.946737e+000	7.500000e-001
4.104535771198533e-006	3.899899e+000	2.089923e+000	1.946722e+000	7.500000e-001
4.531678628341387e-006	3.899904e+000	2.089923e+000	1.946705e+000	7.500000e-001
4.958821485484240e-006	3.899911e+000	2.089922e+000	1.946687e+000	7.500000e-001
5.385964342627093e-006	3.899919e+000	2.089922e+000	1.946668e+000	7.500000e-001
5.813107199769945e-006	3.899928e+000	2.089921e+000	1.946647e+000	7.500000e-001
5.823107199769945e-006	3.899928e+000	2.089921e+000	1.946647e+000	7.500000e-001
8.823107199769916e-006	3.900046e+000	2.089918e+000	1.946464e+000	7.500000e-001
1.182310719976989e-005	3.900266e+000	2.089913e+000	1.946226e+000	7.500000e-001
1.482310719976986e-005	3.900603e+000	2.089904e+000	1.945942e+000	7.500000e-001
1.782310719977027e-005	3.901058e+000	2.089892e+000	1.945625e+000	7.500000e-001
2.082310719977075e-005	3.901624e+000	2.089875e+000	1.945288e+000	7.500000e-001
2.382310719977123e-005	3.902285e+000	2.089852e+000	1.944947e+000	7.500000e-001
2.682310719977170e-005	3.903020e+000	2.089823e+000	1.944620e+000	7.500000e-001
2.982310719977218e-005	3.903796e+000	2.089788e+000	1.944324e+000	7.500000e-001
3.025025005691511e-005	3.903908e+000	2.089782e+000	1.944286e+000	7.500000e-001
3.067739291405803e-005	3.904020e+000	2.089777e+000	1.944249e+000	7.500000e-001
3.110453577120096e-005	3.904132e+000	2.089771e+000	1.944213e+000	7.500000e-001
3.153167862834388e-005	3.904243e+000	2.089765e+000	1.944178e+000	7.500000e-001
3.195882148548681e-005	3.904354e+000	2.089759e+000	1.944145e+000	7.500000e-001
3.238596434262973e-005	3.904464e+000	2.089752e+000	1.944113e+000	7.500000e-001
3.281310719977266e-005	3.904575e+000	2.089746e+000	1.944082e+000	7.500000e-001
3.282310719977266e-005	3.904577e+000	2.089746e+000	1.944081e+000	7.500000e-001
3.325025005691559e-005	3.904687e+000	2.089739e+000	1.944052e+000	7.500000e-001
3.367739291405851e-005	3.904795e+000	2.089733e+000	1.944024e+000	7.500000e-001
3.410453577120144e-005	3.904902e+000	2.089726e+000	1.943998e+000	7.500000e-001
3.453167862834436e-005	3.905008e+000	2.089719e+000	1.943974e+000	7.500000e-001
3.495882148548729e-005	3.905113e+000	2.089712e+000	1.943951e+000	7.500000e-001
3.538596434263021e-005	3.905217e+000	2.089705e+000	1.943930e+000	7.500000e-001
3.581310719977314e-005	3.905319e+000	2.089697e+000	1.943911e+000	7.500000e-001
3.582310719977314e-005	3.905322e+000	2.089697e+000	1.943910e+000	7.500000e-001
3.625025005691607e-005	3.905422e+000	2.089690e+000	1.943893e+000	7.500000e-001
